NINPUT,STRATEGIA,SPEEDUP,EFFICIENZA
100000000,1,21.971719,0.686616
100000000,2,23.482309,0.733822
200000000,1,24.685036,0.771407
200000000,2,21.466146,0.670817
200000000,3,24.820477,0.77564
