NINPUT,STRATEGIA,SPEEDUP,EFFICIENZA,NPROC
200000000,1,3.265743,0.408218,8
200000000,2,3.314253,0.414282,8
200000000,3,3.261314,0.407664,8
200000000,1,15.135658,0.945979,16
200000000,2,15.201775,0.950111,16
200000000,3,15.141195,0.946325,16
200000000,1,24.684668,0.771396,32
200000000,2,21.466146,0.670817,32
200000000,3,24.820116,0.775629,32
200000000,1,24.579612,0.384056,64
200000000,2,24.670234,0.385472,64
200000000,3,24.670234,0.385699,64
