NPROC,NINPUT,STRATEGIA,TEMPO
1,1000000,1,0.004305
1,1000000,1,0.004308
1,1000000,1,0.005301
1,10000000,1,0.042581
1,10000000,1,0.042727
1,10000000,1,0.042616
1,10000000,1,0.042673
1,10000000,1,0.042682
1,10000000,1,0.042718
1,100000000,1,0.425695
1,100000000,1,0.426581
1,100000000,1,0.424962
1,1000000,2,0.004305
1,1000000,2,0.004308
1,1000000,2,0.005301
1,10000000,2,0.042581
1,10000000,2,0.042727
1,10000000,2,0.042616
1,10000000,2,0.042673
1,10000000,2,0.042682
1,10000000,2,0.042718
1,100000000,2,0.425695
1,100000000,2,0.426581
1,100000000,2,0.424962
1,1000000,3,0.004305
1,1000000,3,0.004308
1,1000000,3,0.005301
1,10000000,3,0.042581
1,10000000,3,0.042727
1,10000000,3,0.042616
1,10000000,3,0.042673
1,10000000,3,0.042682
1,10000000,3,0.042718
1,100000000,3,0.425695
1,100000000,3,0.426581
1,100000000,3,0.424962
1,200000000,1,0.852674
1,200000000,1,0.86214
1,200000000,1,0.854512
1,200000000,1,0.853668
1,200000000,1,0.850788
1,200000000,2,0.854241
1,200000000,2,0.851459
1,200000000,3,0.853484
1,200000000,3,0.85414
1,300000000,1,1.277395
1,300000000,1,1.277046
1,300000000,1,1.277754
1,300000000,2,1.277046
1,300000000,2,1.277754
1,300000000,3,1.277046
1,300000000,3,1.277754
1,400000000,1,1.707418
1,400000000,1,1.737922
1,400000000,1,1.706945
1,400000000,1,1.70841
1,400000000,1,1.701654
1,400000000,2,1.707418
1,400000000,2,1.737922
1,400000000,2,1.706945
1,400000000,2,1.70841
1,400000000,2,1.701654
1,400000000,3,1.707418
1,400000000,3,1.737922
1,400000000,3,1.706945
1,400000000,3,1.70841
1,400000000,3,1.701654
1,500000000,1,2.123798
1,500000000,1,2.128164
1,500000000,2,2.126398
1,500000000,2,2.126141
1,500000000,3,2.126398
1,500000000,3,2.126141
4,10000000,3,0.014598
4,200000000,3,0.268175
4,400000000,2,0.535486
8,10000,1,0.000221
8,10000,1,0.000386
8,100000,1,0.000276
8,100000,1,0.0003
8,100000,1,0.000245
8,100000,2,0.000279
8,100000,2,0.000535
8,100000,2,0.000536
8,100000,2,0.000267
8,100000,3,0.000469
8,100000,3,0.000286
8,100000,3,0.000279
8,1000000,1,0.001253
8,1000000,1,0.00071
8,1000000,1,0.001012
8,1000000,1,0.000895
8,1000000,2,0.000923
8,1000000,2,0.000756
8,1000000,2,0.000992
8,1000000,2,0.000732
8,1000000,3,0.000972
8,1000000,3,0.000749
8,1000000,3,0.001015
8,1000000,3,0.000967
8,10000000,1,0.014231
8,10000000,1,0.014081
8,10000000,1,0.014106
8,10000000,1,0.01402
8,10000000,1,0.014188
8,10000000,1,0.01303
8,10000000,1,0.013331
8,10000000,1,0.013409
8,10000000,1,0.014239
8,10000000,1,0.014235
8,10000000,2,0.014111
8,10000000,2,0.013705
8,10000000,2,0.014026
8,10000000,2,0.014079
8,10000000,2,0.014155
8,10000000,3,0.014094
8,10000000,3,0.013075
8,10000000,3,0.013075
8,10000000,3,0.01404
8,10000000,3,0.01404
8,100000000,1,0.13161
8,100000000,1,0.132184
8,100000000,1,0.131752
8,100000000,1,0.131367
